,id,year,debt,threat,rec1,rec2,rd_ratio,se,log_assets,mkt_share,mkt_growth
0,8.0,0.0,0.0,1.7482001,0,0,0.08448753739612189,-0.056300270290031686,1.411718413460049,0.003571619696190509,0.0
3,177.0,0.0,0.011,9.1023998,0,0,0.38052116059878033,-0.16290281908145143,2.0645816787728117,0.005353472070938184,0.0
4,310.0,0.0,0.0,1.0658,0,0,0.008645131536137577,0.01416557682887002,3.198509838915328,0.042572519536586605,0.0
19,302.0,0.0,0.929,1.0549001,0,0,0.02822349570200573,-0.018478441318461797,1.7929254558680243,0.0069057909915262485,0.0
23,45.0,0.0,7.213,1.0538,0,0,0.6492024417177914,-0.2663978579135669,2.868410134978641,0.008063351945693256,0.0
27,296.0,0.0,184.594,1.0,0,0,0.013842644655636652,0.0169998175495999,6.488768665962655,0.807639182037353,0.0
41,268.0,0.0,0.0,1.2994,0,0,1.9397260273972603,-0.14719574373753047,1.506518858426259,0.0003611194429666304,0.0
42,293.0,0.0,0.348,1.1720999,0,0,0.04312012355694228,-0.0017294179266725933,3.007562025307568,0.015854627598740418,0.0
44,157.0,0.0,182.3,1.0989,0,0,0.13304769999769653,-0.060344221547869996,8.37029283105276,4.295144760961734,0.0
55,279.0,0.0,0.0,2.1461,0,0,0.10979748195626415,-0.09927023234599701,3.6182423745144954,0.0367372250855806,0.0
66,290.0,0.0,0.0,1.3622,0,0,0.0332416895776056,-0.013179916317991631,1.5644405465033646,0.003958462715916407,0.0
69,5.0,0.0,0.0,6.8312998,0,0,1.1150284159220145,-0.14320589149483412,3.825985699331936,0.006089562113587974,0.0
75,153.0,0.0,0.0,2.3715,0,0,0.0916713474072462,-0.07714889828088412,4.47215294687828,0.08637284517925974,0.0
77,13.0,0.0,0.035,2.1458001,0,0,0.07834147312207164,-0.06293316274752475,2.7825390530929495,0.01963797211902643,0.0
81,284.0,0.0,2.795,1.3422,0,0,0.06378657072264363,-0.03862375210339766,4.939175095545448,0.14856058136312422,0.0
92,154.0,0.0,0.111,5.5769,0,0,0.03600446072964792,-0.031764038948761585,1.6656291920838429,0.006210265050689149,0.0
102,0.0,0.0,73.488,1.2872,0,0,0.0688757892466935,-0.040260922567453436,4.4996763281072525,0.06882046151440771,0.0
111,247.0,0.0,2.519,4.2315001,0,0,0.11299346405228758,-0.14877711749410905,3.203315386750145,0.03784333888622908,0.0
113,158.0,0.0,320.953,1.0,0,0,0.030907217452985393,0.0569916781054234,7.828805864756932,1.8522795704412003,0.0
128,198.0,0.0,7.908,1.0,0,0,0.025192288968941677,0.013161958394063866,3.119762421970841,0.04064720875298917,0.0
132,282.0,0.0,5.978,4.5229001,0,0,0.05473331912508782,-0.037774848844909,5.778203255023189,0.3760203194886042,0.0
133,191.0,0.0,0.0,6.3143001,0,0,2.4925911817853272,-0.245338942585225,3.244075625889943,0.002737582188188127,0.0
139,214.0,0.0,0.023,1.6779,0,0,0.00020678246484698098,0.0038167937022900752,0.7400307664587957,0.00478458527722363,0.0
145,305.0,0.0,0.542,4.0723,0,0,0.24267551686014374,-0.08449263686579378,1.586783221869294,0.0017897673214428342,0.0
146,223.0,0.0,45.668,3.1184001,0,0,0.09356770692751264,-0.01532192927488247,5.838030693632648,0.08870379698098407,0.0
147,19.0,0.0,4.687,5.0356998,0,0,2.138592720073104,-0.4813715022976317,2.6493612047535304,0.0032480962500258843,0.0
148,46.0,0.0,0.045,2.0834999,0,0,0.13399184024049818,-0.19368747844084166,1.7575130304994637,0.009214976689838894,0.0
151,225.0,0.0,0.429,1.003,0,0,0.029756002777226738,0.14204170801317234,1.5162255307119217,0.00498740578628708,0.0
155,184.0,0.0,122.0,1.8657,0,0,0.16004258339247693,-0.06892806324110672,8.24143968982973,2.788039973369766,0.0
